"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 21 06:07:19 MSK 2024","Thu Mar 21 06:07:20 MSK 2024","383","tests","test_courier_create","TestCourierCreate","","","Проверка создания курьера",""
"failed","Thu Mar 21 06:07:24 MSK 2024","Thu Mar 21 06:08:25 MSK 2024","60237","tests","test_courier_login","TestCourierLogin","","","Проверка авторизации курьера без обязательных полей",""
"passed","Thu Mar 21 06:07:22 MSK 2024","Thu Mar 21 06:07:22 MSK 2024","252","tests","test_courier_create","TestCourierCreate","","","Проверка создания курьера без обязательных полей",""
"passed","Thu Mar 21 06:08:29 MSK 2024","Thu Mar 21 06:08:49 MSK 2024","20305","tests","test_order_list","TestOrderList","","","Проверка наличия списка в ответе",""
"passed","Thu Mar 21 06:07:22 MSK 2024","Thu Mar 21 06:07:23 MSK 2024","254","tests","test_courier_login","TestCourierLogin","","","Проверка авторизации курьера",""
"failed","Thu Mar 21 06:08:28 MSK 2024","Thu Mar 21 06:08:28 MSK 2024","256","tests","test_order_create","TestOrderCreate","","","Проверка заказа с разными вариантами поля цвет",""
"passed","Thu Mar 21 06:07:22 MSK 2024","Thu Mar 21 06:07:22 MSK 2024","260","tests","test_courier_create","TestCourierCreate","","","Проверка создания курьера без обязательных полей",""
"passed","Thu Mar 21 06:08:27 MSK 2024","Thu Mar 21 06:08:27 MSK 2024","254","tests","test_courier_login","TestCourierLogin","","","Проверка авторизации курьера c некорректными данными ",""
"failed","Thu Mar 21 06:08:27 MSK 2024","Thu Mar 21 06:08:28 MSK 2024","278","tests","test_order_create","TestOrderCreate","","","Проверка заказа с разными вариантами поля цвет",""
"passed","Thu Mar 21 06:07:21 MSK 2024","Thu Mar 21 06:07:22 MSK 2024","573","tests","test_courier_create","TestCourierCreate","","","Проверка невозможности создать дубль курьера",""
"passed","Thu Mar 21 06:07:20 MSK 2024","Thu Mar 21 06:07:21 MSK 2024","355","tests","test_courier_create","TestCourierCreate","","","Проверка создания курьера без имени",""
"passed","Thu Mar 21 06:08:28 MSK 2024","Thu Mar 21 06:08:29 MSK 2024","252","tests","test_order_create","TestOrderCreate","","","Проверка заказа с разными вариантами поля цвет",""
"passed","Thu Mar 21 06:08:26 MSK 2024","Thu Mar 21 06:08:26 MSK 2024","253","tests","test_courier_login","TestCourierLogin","","","Проверка авторизации курьера c некорректными данными ",""
"passed","Thu Mar 21 06:07:23 MSK 2024","Thu Mar 21 06:07:24 MSK 2024","238","tests","test_courier_login","TestCourierLogin","","","Проверка авторизации курьера без обязательных полей",""
"passed","Thu Mar 21 06:08:28 MSK 2024","Thu Mar 21 06:08:28 MSK 2024","302","tests","test_order_create","TestOrderCreate","","","Проверка заказа с разными вариантами поля цвет",""
